"TimeStep","Time","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,,0,0.83,0.76,0
0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,,0.052533,0.83187,0.8125,0
0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,,0.10507,0.83375,0.865,0
0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,,0.1576,0.83562,0.9175,0
0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,,0.21013,0.8375,0.97,0
1,0.001,-0.0063739,0.00047606,-0.0014308,-530.44,1.278,-517.17,-0.0010187,0.00052733,0,2,7,-0.58188,0.72843,0,,0,0.83,0.76,0
1,0.001,-0.0071146,-0.0001266,-0.00029335,-506.33,-0.33987,-488.02,-0.0011466,0.00049093,0,2,7,-0.64421,0.9987,0,,0.052533,0.83187,0.8125,0
1,0.001,-0.011699,-3.311e-05,0.0052474,-455.75,-0.088885,-410.26,-0.0013078,0.00060706,0,2,7,-1.3539,1.4472,0,,0.10507,0.83375,0.865,0
1,0.001,-0.018371,0.00055187,0.012582,-430.08,1.4815,-346.98,-0.0014936,0.0010888,0,2,7,-1.3848,2.1765,0,,0.1576,0.83562,0.9175,0
1,0.001,0.0025982,0.014341,-0.0040654,-89.527,38.5,-107.42,-2.2339e-05,0.0014586,0,2,7,0.48099,2.8291,0,,0.21013,0.8375,0.97,0
2,0.002,-0.0098871,0.0013562,0.0015435,-575.32,3.6408,-544.63,-0.0023855,0.0017392,0,2,7,-1.8029,1.6388,0,,0,0.83,0.76,0
2,0.002,-0.017288,-0.00065276,0.009949,-529.14,-1.7524,-456.02,-0.0027359,0.0020035,0,2,7,-2.1898,2.1787,0,,0.052533,0.83187,0.8125,0
2,0.002,-0.027265,-0.00055753,0.019604,-577.07,-1.4967,-451.25,-0.0033665,0.0028243,0,2,7,-2.3686,3.0661,0,,0.10507,0.83375,0.865,0
2,0.002,-0.027719,0.0037813,0.020317,-561.21,10.151,-432.26,-0.0034363,0.0039228,0,2,7,-1.7834,3.5558,0,,0.1576,0.83562,0.9175,0
2,0.002,-0.011889,0.025915,0.0076051,-313.68,69.571,-261.35,-0.001186,0.0046995,0,2,7,-2.0644,4.014,0,,0.21013,0.8375,0.97,0
